EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAMOV;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FEPAGO;ADICIONA;RESTANTE;ENTREGO
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA MIXTA LIMEL;CL 68 #35 75;TIELIM01;07/03/2011;6;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA MIXTA LIMEL;CL 68 #35 75;TIELIM01;08/03/2011;6;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA MIXTA LIMEL;CL 68 #35 75;TIELIM01;09/03/2011;6;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LA 40;CL 67A  # 40-02 MALABAR;TIE4001;08/03/2011;7;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LA 40;CL 67A  # 40-02 MALABAR;TIE4001;09/03/2011;7;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA URAPANES;CL 10 # 1B -02;TIEURA01;03/03/2011;5;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA URAPANES;CL 10 # 1B -02;TIEURA01;04/03/2011;5;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA URAPANES;CL 10 # 1B -02;TIEURA01;05/03/2011;8;0;0;0;800;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA URAPANES;CL 10 # 1B -02;TIEURA01;07/03/2011;5;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA URAPANES;CL 10 # 1B -02;TIEURA01;08/03/2011;5;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA URAPANES;CL 10 # 1B -02;TIEURA01;09/03/2011;5;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA DO�A INES;CR 35 #100-29;MISDO�01;04/03/2011;30;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA DO�A INES;CR 35 #100-29;MISDO�01;05/03/2011;45;0;0;0;800;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA DO�A INES;CR 35 #100-29;MISDO�01;07/03/2011;30;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA DO�A INES;CR 35 #100-29;MISDO�01;08/03/2011;30;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA DO�A INES;CR 35 #100-29;MISDO�01;09/03/2011;30;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;SUPERMERCADO IDEAL # 1;CL 67B # 31-15;SUPIDE01;08/03/2011;7;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;SUPERMERCADO IDEAL # 1;CL 67B # 31-15;SUPIDE01;09/03/2011;7;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOS CORALES;CR 42 #67C- 07;MISCOR01;02/03/2011;10;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOS CORALES;CR 42 #67C- 07;MISCOR01;03/03/2011;10;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOS CORALES;CR 42 #67C- 07;MISCOR01;04/03/2011;10;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOS CORALES;CR 42 #67C- 07;MISCOR01;05/03/2011;12;0;0;0;800;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOS CORALES;CR 42 #67C- 07;MISCOR01;07/03/2011;10;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOS CORALES;CR 42 #67C- 07;MISCOR01;08/03/2011;10;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOS CORALES;CR 42 #67C- 07;MISCOR01;09/03/2011;10;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA J.2;CL 105D #32A 33;TIEJ201;04/03/2011;7;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA J.2;CL 105D #32A 33;TIEJ201;05/03/2011;7;0;0;0;800;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA J.2;CL 105D #32A 33;TIEJ201;07/03/2011;7;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA J.2;CL 105D #32A 33;TIEJ201;08/03/2011;7;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;TIENDA J.2;CL 105D #32A 33;TIEJ201;09/03/2011;7;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;04/03/2011;14;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;05/03/2011;15;0;0;0;800;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;07/03/2011;14;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;08/03/2011;14;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;09/03/2011;14;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA EL BOSQUE;CL 81B #36 09 LUSITANIA;MISBOS01;02/03/2011;8;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA EL BOSQUE;CL 81B #36 09 LUSITANIA;MISBOS01;03/03/2011;8;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA EL BOSQUE;CL 81B #36 09 LUSITANIA;MISBOS01;04/03/2011;8;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA EL BOSQUE;CL 81B #36 09 LUSITANIA;MISBOS01;05/03/2011;12;0;0;0;800;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA EL BOSQUE;CL 81B #36 09 LUSITANIA;MISBOS01;07/03/2011;8;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA EL BOSQUE;CL 81B #36 09 LUSITANIA;MISBOS01;08/03/2011;8;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA EL BOSQUE;CL 81B #36 09 LUSITANIA;MISBOS01;09/03/2011;8;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;HECTOR BERRIO SUAREZ;CR 35 CL 100C ESQ. KIOSCO;HECBER01;04/03/2011;35;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;HECTOR BERRIO SUAREZ;CR 35 CL 100C ESQ. KIOSCO;HECBER01;05/03/2011;50;0;0;0;800;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;HECTOR BERRIO SUAREZ;CR 35 CL 100C ESQ. KIOSCO;HECBER01;07/03/2011;35;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;HECTOR BERRIO SUAREZ;CR 35 CL 100C ESQ. KIOSCO;HECBER01;08/03/2011;35;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;HECTOR BERRIO SUAREZ;CR 35 CL 100C ESQ. KIOSCO;HECBER01;09/03/2011;35;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;CAFETERIA AVENIDA SANTANDER;CR 23 # 55-01;CAFAVE01;08/03/2011;8;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;CAFETERIA AVENIDA SANTANDER;CR 23 # 55-01;CAFAVE01;09/03/2011;8;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOAIZA;CL 99 A # 34-21;MISLOA01;04/03/2011;5;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOAIZA;CL 99 A # 34-21;MISLOA01;05/03/2011;5;0;0;0;800;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOAIZA;CL 99 A # 34-21;MISLOA01;07/03/2011;5;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOAIZA;CL 99 A # 34-21;MISLOA01;08/03/2011;5;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA LOAIZA;CL 99 A # 34-21;MISLOA01;09/03/2011;5;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA GOMEZ;CR 35 # 99 A - 05;MISGOM02;04/03/2011;8;0;0;0;525;0;0;0;Q HUBO;30/03/2011;0;0;0
JUAN CARLOS RENDON ESCOBAR;ZC004;MISCELANEA GOMEZ;CR 35 # 99 A - 05;MISGOM02;05/03/2011;8;0;0;0;800;0;0;0;Q HUBO;30/03/2011;0;0;0
